"","totalDelay"
"1",1.73205080756888
"2",NA
"3",NA
"4",1.4142135623731
"5",1.4142135623731
"6",NA
"7",NA
"8",3.60555127546399
"9",NA
"10",NA
"11",NA
"12",4.89897948556636
"13",6.70820393249937
"14",5.91607978309962
"15",NA
"16",NA
"17",14.7986485869487
"18",2.44948974278318
"19",11.2249721603218
"20",2
"21",NA
"22",1
"23",NA
"24",NA
"25",NA
"26",NA
"27",10.0995049383621
"28",NA
"29",2.64575131106459
"30",2
"31",10
"32",1
"33",NA
"34",2
"35",NA
"36",11.7473401244707
"37",NA
"38",6.16441400296898
"39",5.74456264653803
"40",13.1529464379659
"41",NA
"42",6.2449979983984
"43",NA
"44",5.19615242270663
"45",NA
"46",3.16227766016838
"47",2
"48",3.87298334620742
"49",4.58257569495584
"50",NA
"51",NA
"52",NA
"53",NA
"54",1.4142135623731
"55",9.21954445729289
"56",NA
"57",7.21110255092798
"58",12.6095202129185
"59",4.12310562561766
"60",1.4142135623731
"61",NA
"62",8.06225774829855
"63",2.82842712474619
"64",6.6332495807108
"65",NA
"66",NA
"67",NA
"68",9.05538513813742
"69",9.74679434480896
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",15.9373774505092
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",1.73205080756888
"83",NA
"84",7.34846922834953
"85",NA
"86",NA
"87",2
"88",0
"89",3.46410161513775
"90",0
"91",NA
"92",NA
"93",NA
"94",6.6332495807108
"95",11.0905365064094
"96",7.34846922834953
"97",NA
"98",NA
"99",1
"100",NA
"101",1.73205080756888
"102",NA
"103",2.44948974278318
"104",5.47722557505166
"105",NA
"106",NA
"107",NA
"108",NA
"109",0
"110",NA
"111",4.12310562561766
"112",3
"113",NA
"114",NA
"115",NA
"116",15.0996688705415
"117",3.74165738677394
"118",NA
"119",7
"120",8.18535277187245
"121",5
"122",NA
"123",NA
"124",NA
"125",NA
"126",2.23606797749979
"127",NA
"128",NA
"129",NA
"130",4
"131",NA
"132",3.16227766016838
"133",NA
"134",8.94427190999916
"135",NA
"136",0
"137",NA
"138",7.93725393319377
"139",NA
"140",9
"141",NA
"142",NA
"143",5.74456264653803
"144",NA
"145",NA
"146",2.82842712474619
"147",6
"148",NA
"149",8.06225774829855
"150",3.16227766016838
"151",NA
"152",NA
"153",NA
"154",0
"155",NA
"156",2.44948974278318
"157",NA
"158",3.3166247903554
"159",3.16227766016838
"160",NA
"161",2
"162",3.46410161513775
"163",2.44948974278318
"164",NA
"165",NA
"166",6
"167",NA
"168",5.65685424949238
"169",4.47213595499958
"170",6.70820393249937
"171",14.0356688476182
"172",5.19615242270663
"173",9.05538513813742
"174",13.0384048104053
"175",5
"176",13.4536240470737
"177",NA
"178",7.68114574786861
"179",NA
"180",NA
"181",NA
"182",1
"183",NA
"184",4.24264068711928
"185",NA
"186",NA
"187",NA
"188",NA
"189",3.74165738677394
"190",6.32455532033676
"191",5
"192",2
"193",NA
"194",NA
"195",NA
"196",NA
"197",14
"198",NA
"199",NA
"200",NA
"201",5.8309518948453
"202",NA
"203",NA
"204",NA
"205",NA
"206",11.2694276695846
"207",NA
"208",6.08276253029822
"209",NA
"210",NA
"211",3.87298334620742
"212",1.73205080756888
"213",NA
"214",11.3137084989848
"215",5.3851648071345
"216",NA
"217",NA
"218",NA
"219",1
"220",NA
"221",1.73205080756888
"222",4
"223",14.8660687473185
"224",1.4142135623731
"225",3.3166247903554
"226",1
"227",NA
"228",NA
"229",NA
"230",NA
"231",NA
"232",NA
"233",7
"234",7.61577310586391
"235",4.58257569495584
"236",NA
"237",14.8323969741913
"238",3.60555127546399
"239",NA
"240",NA
"241",NA
"242",NA
"243",NA
"244",NA
"245",0
"246",3.60555127546399
"247",5.8309518948453
"248",NA
"249",17.3493515728975
"250",NA
"251",NA
"252",5.09901951359278
"253",1.73205080756888
"254",NA
"255",NA
"256",NA
"257",NA
"258",0
"259",NA
"260",6.48074069840786
"261",NA
"262",9.74679434480896
"263",0
"264",1.73205080756888
"265",5.56776436283002
"266",NA
"267",0
"268",NA
"269",NA
"270",NA
"271",NA
"272",0
"273",6.92820323027551
"274",2.23606797749979
"275",3.60555127546399
"276",NA
"277",NA
"278",7.48331477354788
"279",0
"280",6
"281",1.73205080756888
"282",0
"283",NA
"284",NA
"285",NA
"286",NA
"287",0
"288",NA
"289",NA
"290",8.24621125123532
"291",3.46410161513775
"292",4.12310562561766
"293",NA
"294",NA
"295",0
"296",0
"297",8.54400374531753
"298",4.12310562561766
"299",NA
"300",NA
"301",NA
"302",NA
"303",NA
"304",8.60232526704263
"305",NA
"306",10.5830052442584
"307",6.08276253029822
"308",0
"309",3.60555127546399
"310",NA
"311",13.7840487520902
"312",NA
"313",5.19615242270663
"314",5.19615242270663
"315",3.16227766016838
"316",2.23606797749979
"317",NA
"318",NA
"319",10
"320",3.16227766016838
"321",NA
"322",9.21954445729289
"323",1.4142135623731
"324",4
"325",2.23606797749979
"326",2.23606797749979
"327",2.82842712474619
"328",10.0995049383621
"329",NA
"330",NA
"331",5
"332",21.1187120819429
